customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST1000,56.0,Male,West,Secondary,Salaried,841473.2985646669,821240.7382037686,Home,663.935110897968,3,39,13.2,2021-05-24,0
CUST1001,69.0,Male,North,Graduate,Self-Employed,179168.0698284376,166721.9993532074,Education,714.9097636894867,2,18,29.43,2021-10-23,0
CUST1002,46.0,Other,North,Graduate,Salaried,,371720.1705000299,Business,635.2265342742895,1,114,14.89,2018-04-27,0
CUST1003,32.0,Female,North,Graduate,Salaried,311056.80823884805,367386.2911897118,Car,582.3692958540252,0,8,9.65,2021-04-17,0
CUST1004,,Male,North,Post-Graduate,Salaried,,97156.36036972038,Education,554.7461594705891,3,149,29.25,2021-06-23,0
CUST1005,25.0,Female,West,Secondary,Self-Employed,342868.12996635755,232081.91641384648,Home,,1,116,7.3,2018-05-08,0
CUST1006,38.0,Male,South,Graduate,Salaried,598091.9703490302,581794.4398525226,Other,643.1862215573378,0,73,15.54,2021-10-13,0
CUST1007,56.0,Male,South,Primary,Salaried,259250.6625859998,181183.42395368207,Home,598.1321313684177,1,156,21.74,2018-03-19,0
CUST1008,36.0,,East,Graduate,Salaried,187944.8887577613,745640.219113215,Business,,0,53,17.51,2020-01-11,0
CUST1009,40.0,Female,North,Graduate,Salaried,461207.0239690662,80345.4113797775,Other,816.6772331816817,1,59,8.84,2021-08-09,0
CUST1010,28.0,Male,South,Graduate,Salaried,742312.8698591558,24012276.368150778,Business,602.2374625014663,3,155,10.33,2020-02-13,0
CUST1011,28.0,Female,South,Secondary,Self-Employed,160013.8954312004,575145.0160095749,Home,730.9034071244861,1,85,11.6,2018-03-23,0
CUST1012,41.0,Female,South,Graduate,Self-Employed,723705.2237790792,490444.89318574127,Education,,2,144,24.34,2018-12-08,0
CUST1013,53.0,Female,West,Secondary,Salaried,722435.7171755411,1246227.024185855,Home,773.9002972609196,2,143,17.91,2021-09-23,1
CUST1014,57.0,Male,East,Primary,Self-Employed,784224.8536159539,304385.18186211906,Home,671.3834989870103,1,119,13.55,2020-03-29,0
CUST1015,41.0,Male,South,Graduate,Self-Employed,919042.9436541069,709919.8090156175,Home,570.7758921098517,0,79,20.18,2019-08-01,0
CUST1016,20.0,Male,West,Secondary,Salaried,1658142.1632107534,458542.2687982341,Other,749.4781713346533,1,102,11.3,2018-04-06,0
CUST1017,39.0,Male,North,Graduate,Salaried,357304.90462539997,485158.9793875369,Other,662.5124379421047,2,131,23.79,2021-03-14,0
CUST1018,19.0,Male,North,Secondary,Salaried,472476.33879925,230493.92814196713,Home,769.2124190868366,1,115,20.6,2019-07-31,0
CUST1019,41.0,Female,North,Secondary,Salaried,344599.0823228822,140464.23997209102,Car,,0,105,14.7,2019-06-05,0
CUST1020,61.0,Male,South,Graduate,Self-Employed,442938.4528928562,701648.0333301737,Other,749.7108714666442,0,118,15.16,2021-11-21,0
CUST1021,47.0,Male,South,Graduate,Self-Employed,1109837.3304242396,161460.04416028803,Car,845.7937196527766,1,33,13.86,2020-09-22,0
CUST1022,55.0,Male,East,Secondary,Unemployed,197400.77058400394,213491.37115956115,Car,699.739863142717,1,66,27.06,2018-12-23,0
CUST1023,19.0,Male,West,Graduate,Self-Employed,263911.789787166,167699.23601870256,Car,780.9998548867899,2,57,18.32,2018-07-05,0
CUST1024,38.0,Male,South,Graduate,Salaried,1010856.5127862784,227997.91650896898,Business,651.6608126179204,1,121,14.76,2022-08-21,0
CUST1025,50.0,Male,South,Graduate,Salaried,815879.4613829211,178957.9265100445,Car,717.8497977665969,0,95,10.12,2019-06-27,0
CUST1026,29.0,Female,North,Secondary,Self-Employed,355798.91754984116,32289.0419122461,Business,644.8410496299695,1,110,22.08,2018-05-31,0
CUST1027,39.0,Male,North,Graduate,Salaried,78618087.07979074,554369.7734784834,Car,713.5467887340341,0,90,21.57,2021-09-04,0
CUST1028,61.0,Other,South,Graduate,Self-Employed,,166923.88577555548,Home,706.2363848091406,0,132,12.64,2022-11-13,0
CUST1029,42.0,Female,South,Graduate,Self-Employed,1088340.6615155889,242256.24140743853,Home,535.7603419545744,1,104,13.33,2022-08-19,0
CUST1030,66.0,Male,West,Primary,Self-Employed,462640.5845293378,57469.73000413336,Home,,0,98,15.51,2020-12-18,0
CUST1031,44.0,Female,North,Graduate,Self-Employed,,20848.39993349905,Car,696.122099341064,1,80,9.24,2018-01-10,0
