customer_id,loan_amount,loan_purpose,transaction_count,spending_ratio,default_flag
CUST1000,821240.7382037686,Home,39,13.2,0
CUST1001,166721.9993532074,Education,18,29.43,0
CUST1002,371720.1705000299,Business,114,14.89,0
CUST1003,367386.2911897118,Car,8,9.65,0
CUST1004,97156.36036972038,Education,149,29.25,0
CUST1005,232081.91641384648,Home,116,7.3,0
CUST1006,581794.4398525226,Other,73,15.54,0
CUST1007,181183.42395368207,Home,156,21.74,0
CUST1008,745640.219113215,Business,53,17.51,0
CUST1009,80345.4113797775,Other,59,8.84,0
CUST1010,24012276.368150778,Business,155,10.33,0
CUST1011,575145.0160095749,Home,85,11.6,0
CUST1012,490444.89318574127,Education,144,24.34,0
CUST1013,1246227.024185855,Home,143,17.91,1
CUST1014,304385.18186211906,Home,119,13.55,0
CUST1015,709919.8090156175,Home,79,20.18,0
CUST1016,458542.2687982341,Other,102,11.3,0
CUST1017,485158.9793875369,Other,131,23.79,0
CUST1018,230493.92814196713,Home,115,20.6,0
CUST1019,140464.23997209102,Car,105,14.7,0
CUST1020,701648.0333301737,Other,118,15.16,0
CUST1021,161460.04416028803,Car,33,13.86,0
CUST1022,213491.37115956115,Car,66,27.06,0
CUST1023,167699.23601870256,Car,57,18.32,0
CUST1024,227997.91650896898,Business,121,14.76,0
CUST1025,178957.9265100445,Car,95,10.12,0
CUST1026,32289.0419122461,Business,110,22.08,0
CUST1027,554369.7734784834,Car,90,21.57,0
CUST1028,166923.88577555548,Home,132,12.64,0
CUST1029,242256.24140743853,Home,104,13.33,0
CUST1030,57469.73000413336,Home,98,15.51,0
CUST1031,20848.39993349905,Car,80,9.24,0
CUST1032,90355.45838998734,Home,7,17.06,0
CUST1033,324844.4063542309,Business,85,7.22,0
CUST1034,46116.48734008747,Car,109,8.67,0
CUST1035,618914.9044972821,Business,36,12.75,0
CUST1036,80525.07809631241,Other,12,12.01,0
CUST1037,77225.52948569492,Business,91,20.61,0
CUST1038,70072.90232655406,Other,34,18.94,0
CUST1039,23520.094467325842,Car,147,32.73,0
CUST1040,389389.20134357736,Home,78,17.23,0
CUST1041,539929.4574514884,Other,127,18.23,0
CUST1042,258084.8769364355,Business,125,9.19,0
CUST1043,72125.31300250889,Business,42,9.2,0
CUST1044,103965.40470086382,Education,147,16.98,0
CUST1045,181530.92847999567,Education,162,17.13,0
CUST1046,791665.7482306415,Home,178,19.01,0
CUST1047,91039.19733189445,Education,158,31.03,0
CUST1048,348861.97913225903,Home,119,9.41,0
CUST1049,164708.41620233064,Home,113,38.28,0
CUST1050,108401.11152927196,Car,82,7.81,0
CUST1051,172162.87913286616,Car,40,19.82,0
CUST1052,38467.27027986925,Home,94,8.82,0
CUST1053,420724.0526875558,Business,163,23.62,0
CUST1054,89697.73829194404,Business,44,7.83,0
CUST1055,343120.9837942489,Education,78,4.19,0
CUST1056,37699.08082015316,Car,50,17.69,0
CUST1057,795821.332021177,Other,111,15.45,0
CUST1058,73612.5450401395,Home,174,28.59,0
CUST1059,555844.8234039469,Education,150,17.1,0
CUST1060,434490.61559078726,Home,104,11.33,0
CUST1061,879412.8891385227,Car,168,12.55,0
CUST1062,182469.56281095112,Car,65,82.11,0
CUST1063,344934.9581428606,Education,172,10.62,0
CUST1064,135791.0308355056,Home,7,21.38,0
CUST1065,70948.07448871958,Home,86,20.11,0
CUST1066,166331.5932958908,Car,11,21.63,0
CUST1067,65305.24527893879,Car,35,20.76,0
CUST1068,1024966.4106726713,Education,69,14.39,0
CUST1069,45299.655740368944,Home,99,6.81,0
CUST1070,242419.33485943233,Car,68,17.78,0
CUST1071,266185.1265024918,Home,81,16.34,0
CUST1072,213090.64336163492,Home,7,17.5,0
CUST1073,291314.87312716397,Car,97,21.82,0
CUST1074,50875.683469141135,Education,39,13.37,0
CUST1075,222430.65627749066,Home,19,12.06,0
CUST1076,104643.00981069719,Home,25,25.8,0
CUST1077,724087.3547173431,Car,66,13.95,0
CUST1078,378946.42887814663,Home,87,12.85,0
CUST1079,918524.0092538426,Car,160,12.3,0
CUST1080,29569.867198141394,Car,8,22.14,0
CUST1081,103914.75315762205,Home,145,14.81,0
CUST1082,74359.52293626792,Home,171,49.72,0
CUST1083,22804.316565489386,Business,71,16.92,0
CUST1084,89375.42724434532,Education,98,9.0,0
CUST1085,303904.1321494355,Education,62,13.22,0
CUST1086,85694.98740688404,Car,134,22.82,0
CUST1087,197829.54212211148,Education,29,12.18,0
CUST1088,566908.4378448398,Other,15,16.3,0
CUST1089,315844.8449554911,Education,5,26.82,0
CUST1090,145478.47530790832,Home,52,28.92,0
CUST1091,136490.52736490243,Car,117,12.65,1
CUST1092,172080.12849884614,Car,142,14.46,0
CUST1093,68712.35830752316,Car,85,17.26,0
CUST1094,271281.010586991,Car,34,32.17,0
CUST1095,133199.2565313203,Business,167,9.49,0
CUST1096,498253.65831764357,Education,118,19.69,0
CUST1097,373213.6557297092,Home,23,16.91,0
CUST1098,255731.30291373932,Home,114,10.5,0
CUST1099,133218.68158570165,Car,38,30.53,0
CUST1100,78909.01205571186,Home,36,26.98,0
CUST1101,394196.85545159335,Home,80,35.49,0
CUST1102,186582.0607168645,Car,130,29.67,0
CUST1103,83642.44256170021,Car,138,16.53,0
CUST1104,74282.48454644917,Other,145,22.41,0
CUST1105,65200.94864489909,Home,90,19.41,0
CUST1106,395326.6554615154,Home,79,10.45,0
CUST1107,85012.57116884143,Home,139,8.57,0
CUST1108,206975.9656128051,Car,49,19.78,0
CUST1109,170163.13150880768,Home,177,17.26,0
CUST1110,236643.64154191673,Education,69,13.9,0
CUST1111,544207.7674679873,Home,98,15.7,0
CUST1112,525760.368426685,Car,23,39.83,0
CUST1113,169948.85285438466,Business,123,5.53,0
CUST1114,23871.383778089374,Home,51,22.65,0
CUST1115,158974.8406019645,Car,50,25.06,0
CUST1116,252973.92552615193,Car,33,26.68,0
CUST1117,223978.32981192754,Business,104,8.26,0
CUST1118,283411.71867070533,Car,69,14.2,0
CUST1119,61831.360418152944,Car,155,13.85,1
CUST1120,279992.7719780784,Business,132,19.03,0
CUST1121,70422.46494124443,Car,55,9.35,0
CUST1122,367098.12085673446,Car,26,19.87,0
CUST1123,123533.49861378157,Home,114,10.57,0
CUST1124,329378.46161157126,Education,75,14.17,0
CUST1125,32262.269133939655,Business,37,32.22,0
CUST1126,151003.05719696026,Other,131,25.06,0
CUST1127,325224.23852792487,Other,113,17.49,0
CUST1128,84327.1841106636,Business,104,8.2,0
CUST1129,416536.6248971948,Education,48,19.42,0
CUST1130,269090.47094452055,Business,11,20.08,0
CUST1131,241417.2087718324,Car,132,5.76,0
CUST1132,129064.41271008067,Car,95,19.6,0
CUST1133,184662.9952995215,Home,134,9.6,1
CUST1134,247421.46117202018,Home,21,7.85,0
CUST1135,179883.64856217406,Business,69,9.38,0
CUST1136,319591.57416780427,Car,114,5.58,0
CUST1137,162156.47255214932,Home,34,13.41,0
CUST1138,76497.26828792815,Home,96,9.95,0
CUST1139,80178.56107530357,Business,158,29.09,0
CUST1140,21455.169039625926,Education,167,13.74,0
CUST1141,109511.01145373844,Car,79,11.47,0
CUST1142,365493.56702204805,Car,160,7.41,0
CUST1143,11828287.535393823,Car,157,13.28,0
CUST1144,76558.18639622116,Home,109,32.35,0
CUST1145,818814.2207201157,Car,35,35.65,0
CUST1146,23092640.518341906,Business,101,13.7,0
CUST1147,642164.6670088718,Car,55,15.88,0
CUST1148,326695.476216639,Car,62,23.37,0
CUST1149,340423.6143836971,Home,38,9.85,0
CUST1150,42219.72210039591,Car,25,19.78,0
CUST1151,82112.49589750936,Home,41,53.7,0
