Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
STU1001,20,48,54,52,4.6,1
STU1002,15,50,44,55,7.0,0
STU1003,19,46,53,59,8.4,1
STU1004,18,54,59,62,4.2,1
STU1005,18,36,53,56,3.8,0
STU1006,15,89,78,70,21.7,1
STU1007,20,54,58,59,8.1,1
STU1008,20,54,67,60,9.5,1
STU1009,18,68,57,61,11.1,1
STU1010,19,62,62,65,11.9,1
STU1011,16,78,88,79,20.2,1
STU1012,19,82,74,76,19.3,1
STU1013,15,76,83,80,22.0,1
STU1014,21,98,83,80,23.2,1
STU1015,16,83,93,70,22.2,1
STU1016,19,48,59,56,5.8,1
STU1017,20,70,67,65,16.9,1
STU1018,16,60,69,66,15.5,1
STU1019,20,88,99,74,23.5,1
STU1020,18,49,60,68,10.1,1
STU1021,15,45,53,52,7.7,1
STU1022,19,48,51,49,4.3,0
STU1023,21,51,66,45,11.2,1
STU1024,21,70,69,67,14.8,1
STU1025,19,74,55,49,13.0,1
STU1026,19,54,52,58,7.7,1
STU1027,16,70,62,64,17.4,1
STU1028,15,43,35,48,2.2,0
STU1029,17,91,87,71,22.3,1
STU1030,16,47,50,67,8.1,1
STU1031,19,55,72,55,13.2,1
STU1032,19,75,71,69,18.2,1
STU1033,17,91,80,74,22.7,1
STU1034,16,82,88,76,23.3,1
STU1035,17,75,81,63,20.0,1
STU1036,18,89,88,67,22.1,1
STU1037,16,53,51,58,7.1,1
STU1038,19,67,54,63,11.2,1
STU1039,19,87,96,74,24.6,1
STU1040,20,90,84,72,23.2,1
STU1041,19,29,51,48,4.9,0
STU1042,19,66,74,73,16.0,1
STU1043,17,67,79,66,13.9,1
STU1044,16,52,46,54,5.4,1
STU1045,18,55,68,62,13.4,1
STU1046,20,58,73,72,13.9,1
STU1047,19,74,70,70,15.7,1
STU1048,20,80,86,80,21.8,1
STU1049,16,46,52,57,8.3,1
STU1050,16,53,59,59,10.8,1
STU1051,21,72,76,65,11.7,1
STU1052,15,83,86,78,23.7,1
STU1053,18,34,43,48,2.7,0
STU1054,19,78,69,60,14.3,1
STU1055,16,40,38,45,3.2,0
STU1056,21,68,64,66,11.7,1
STU1057,15,86,66,73,20.0,1
STU1058,20,48,58,52,7.9,1
STU1059,17,76,74,58,15.2,1
STU1060,17,83,78,72,21.6,1
STU1061,17,38,43,54,2.3,0
STU1062,16,47,63,59,12.0,1
STU1063,17,50,63,60,9.4,1
STU1064,18,77,85,86,21.6,1
STU1065,17,67,63,66,14.8,1
STU1066,18,71,66,71,16.9,1
STU1067,19,59,57,57,10.5,1
STU1068,20,39,55,49,6.4,0
STU1069,20,77,66,61,15.6,1
STU1070,16,55,63,64,8.3,1
STU1071,18,63,66,58,13.0,1
