TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T00001,2/11/2025,Coffee,Groceries,West,Offline,8,4539.84,36318.72,UPI,C8148
T00002,3/26/2025,Conditioner,Beauty,East,Online,6,2051,12306,Credit Card,C2045
T00003,2/22/2024,Water Bottle,Home & Kitchen,East,Offline,10,1690.19,16901.9,Cash,C5290
T00004,4/17/2024,Face Wash,Beauty,North,Offline,10,4085.46,40854.6,Credit Card,C1731
T00005,4/12/2025,Eggs,Groceries,East,Online,6,2638.47,15830.82,Net Banking,C3364
T00006,5/15/2024,Perfume,Beauty,North,Online,7,2021.07,14147.49,Cash,C4788
T00007,1/6/2025,Lipstick,Beauty,South,Online,3,4244.36,12733.08,Credit Card,C7702
T00008,2/6/2024,Jeans,Clothing,East,Offline,8,3845.96,30767.68,Credit Card,C3284
T00009,2/3/2024,Eggs,Groceries,South,Online,7,3401.2,23808.4,Cash,C8120
T00010,3/7/2024,Jacket,Clothing,North,Offline,2,1758.91,3517.82,Net Banking,C6545
T00011,3/13/2024,Tablet,Electronics,East,Offline,8,3867.45,30939.6,Credit Card,C9114
T00012,2/29/2024,Cookware Set,Home & Kitchen,South,Offline,1,1568.44,1568.44,Cash,C3086
T00013,12/22/2024,Coffee,Groceries,South,Online,4,1746.06,6984.24,Cash,C9368
T00014,11/13/2024,T-Shirt,Clothing,South,Offline,6,2135.43,12812.58,Credit Card,C9733
T00015,4/19/2025,Conditioner,Beauty,West,Offline,9,889.42,8004.78,UPI,C3785
T00016,1/2/2025,Headphones,Electronics,East,Online,4,880.3,3521.2,UPI,C7306
T00017,11/12/2024,Smartphone,Electronics,East,Online,8,1581.12,12648.96,Net Banking,C5699
T00018,3/3/2024,Chair,Home & Kitchen,South,Offline,2,2831.38,5662.76,UPI,C7818
T00019,9/5/2024,Milk,Groceries,South,Offline,8,2268.91,18151.28,Credit Card,C7888
T00020,2/7/2025,Cookware Set,Home & Kitchen,West,Offline,8,2722.11,21776.88,Net Banking,C7002
T00021,3/7/2024,Jeans,Clothing,South,Offline,10,1266.71,12667.1,Cash,C8583
T00022,5/13/2025,Mixer,Home & Kitchen,North,Online,1,4033.86,4033.86,Net Banking,C2308
T00023,2/6/2024,Headphones,Electronics,East,Online,8,2012.11,16096.88,Cash,C1380
T00024,4/30/2024,Smartphone,Electronics,North,Offline,10,788.62,7886.2,Net Banking,C8094
T00025,4/8/2025,Tablet,Electronics,South,Online,10,3671.55,36715.5,UPI,C5841
T00026,1/4/2024,Hoodie,Clothing,South,Offline,5,1379.21,6896.05,UPI,C8636
T00027,1/9/2025,Shampoo,Beauty,West,Online,8,2287.82,18302.56,Cash,C9794
T00028,2/12/2024,Mixer,Home & Kitchen,West,Offline,2,3770.85,7541.7,Net Banking,C5878
T00029,1/17/2025,Mixer,Home & Kitchen,North,Offline,7,4242.45,29697.15,Credit Card,C3364
T00030,3/1/2025,Eggs,Groceries,West,Online,5,1425.27,7126.35,Net Banking,C1221
T00031,4/7/2024,Tablet,Electronics,East,Online,7,173.71,1215.97,UPI,C1674
T00032,10/27/2024,Bread,Groceries,West,Offline,8,1249.97,9999.76,Cash,C2473
T00033,9/14/2024,Smartphone,Electronics,South,Online,3,2217.43,6652.29,Cash,C4707
T00034,1/21/2024,Shampoo,Beauty,East,Offline,4,3765.73,15062.92,Net Banking,C7992
T00035,1/16/2025,T-Shirt,Clothing,North,Offline,5,4425.27,22126.35,Net Banking,C9515
T00036,12/7/2024,Eggs,Groceries,North,Offline,6,1813.8,10882.8,Credit Card,C2266
T00037,1/11/2024,Mixer,Home & Kitchen,North,Offline,3,1636.38,4909.14,UPI,C5788
T00038,11/22/2024,Laptop,Electronics,East,Offline,7,417.6,2923.2,Credit Card,C4674
T00039,1/27/2024,Lamp,Home & Kitchen,South,Online,5,1122.05,5610.25,Cash,C4819
T00040,11/18/2024,Laptop,Electronics,East,Online,1,2737.17,2737.17,UPI,C4680
T00041,9/2/2024,Milk,Groceries,North,Online,3,946.16,2838.48,Cash,C1456
T00042,1/31/2024,Smart Watch,Electronics,East,Offline,4,831.1,3324.4,Cash,C5803
T00043,5/1/2024,Hoodie,Clothing,North,Offline,2,1436.09,2872.18,Net Banking,C9853
T00044,4/1/2025,Perfume,Beauty,North,Online,9,3227.73,29049.57,Net Banking,C4196
T00045,5/19/2024,Shoes,Clothing,East,Online,2,2324.87,4649.74,Cash,C3049
T00046,1/27/2024,Hoodie,Clothing,East,Online,4,3084.51,12338.04,Credit Card,C8629
T00047,11/11/2024,Shoes,Clothing,North,Offline,4,374.09,1496.36,Cash,C6664
T00048,6/7/2024,Cookware Set,Home & Kitchen,South,Offline,6,4850.46,29102.76,Credit Card,C2225
T00049,4/9/2025,Tablet,Electronics,South,Offline,9,166.18,1495.62,Credit Card,C8088
