"month","total_sales"
"2024-01-01 00:00:00+05:30","907968.78"
"2024-02-01 00:00:00+05:30","674753.37"
"2024-03-01 00:00:00+05:30","1080951.95"
"2024-04-01 00:00:00+05:30","1123295.68"
"2024-05-01 00:00:00+05:30","793740.94"
"2024-06-01 00:00:00+05:30","771809.75"
"2024-07-01 00:00:00+05:30","712183.19"
"2024-08-01 00:00:00+05:30","1032871.71"
"2024-09-01 00:00:00+05:30","718363.59"
"2024-10-01 00:00:00+05:30","1076192.84"
"2024-11-01 00:00:00+05:30","724683.51"
"2024-12-01 00:00:00+05:30","630013.92"
"2025-01-01 00:00:00+05:30","854891.82"
"2025-02-01 00:00:00+05:30","888276.18"
"2025-03-01 00:00:00+05:30","832885.44"
"2025-04-01 00:00:00+05:30","843807.94"
"2025-05-01 00:00:00+05:30","388922.92"
