"month","online_sales","offline_sales"
"2024-01-01 00:00:00+05:30","508193.67","399775.11"
"2024-02-01 00:00:00+05:30","498419.50","176333.87"
"2024-03-01 00:00:00+05:30","561699.41","519252.54"
"2024-04-01 00:00:00+05:30","590609.99","532685.69"
"2024-05-01 00:00:00+05:30","339983.66","453757.28"
"2024-06-01 00:00:00+05:30","272788.33","499021.42"
"2024-07-01 00:00:00+05:30","356375.46","355807.73"
"2024-08-01 00:00:00+05:30","382753.47","650118.24"
"2024-09-01 00:00:00+05:30","277840.46","440523.13"
"2024-10-01 00:00:00+05:30","574394.96","501797.88"
"2024-11-01 00:00:00+05:30","370700.72","353982.79"
"2024-12-01 00:00:00+05:30","329544.76","300469.16"
"2025-01-01 00:00:00+05:30","420006.44","434885.38"
"2025-02-01 00:00:00+05:30","303627.81","584648.37"
"2025-03-01 00:00:00+05:30","328090.75","504794.69"
"2025-04-01 00:00:00+05:30","502868.19","340939.75"
"2025-05-01 00:00:00+05:30","206832.90","182090.02"
