"month","category","total_sales"
"2024-01-01 00:00:00+05:30","Groceries","226596.97"
"2024-01-01 00:00:00+05:30","Electronics","193244.67"
"2024-01-01 00:00:00+05:30","Home & Kitchen","182338.99"
"2024-01-01 00:00:00+05:30","Beauty","168588.18"
"2024-01-01 00:00:00+05:30","Clothing","137199.97"
"2024-02-01 00:00:00+05:30","Clothing","194427.92"
"2024-02-01 00:00:00+05:30","Home & Kitchen","151107.15"
"2024-02-01 00:00:00+05:30","Beauty","119081.43"
"2024-02-01 00:00:00+05:30","Electronics","105622.62"
"2024-02-01 00:00:00+05:30","Groceries","104514.25"
"2024-03-01 00:00:00+05:30","Clothing","291712.98"
"2024-03-01 00:00:00+05:30","Beauty","264249.93"
"2024-03-01 00:00:00+05:30","Electronics","210046.78"
"2024-03-01 00:00:00+05:30","Groceries","179105.78"
"2024-03-01 00:00:00+05:30","Home & Kitchen","135836.48"
"2024-04-01 00:00:00+05:30","Beauty","289999.85"
"2024-04-01 00:00:00+05:30","Home & Kitchen","266409.30"
"2024-04-01 00:00:00+05:30","Groceries","248588.80"
"2024-04-01 00:00:00+05:30","Electronics","201557.76"
"2024-04-01 00:00:00+05:30","Clothing","116739.97"
"2024-05-01 00:00:00+05:30","Electronics","255727.09"
"2024-05-01 00:00:00+05:30","Beauty","218440.09"
"2024-05-01 00:00:00+05:30","Home & Kitchen","132396.57"
"2024-05-01 00:00:00+05:30","Clothing","97881.60"
"2024-05-01 00:00:00+05:30","Groceries","89295.59"
"2024-06-01 00:00:00+05:30","Home & Kitchen","190543.27"
"2024-06-01 00:00:00+05:30","Clothing","160993.08"
"2024-06-01 00:00:00+05:30","Groceries","142729.86"
"2024-06-01 00:00:00+05:30","Beauty","139687.31"
"2024-06-01 00:00:00+05:30","Electronics","137856.23"
"2024-07-01 00:00:00+05:30","Home & Kitchen","214719.65"
"2024-07-01 00:00:00+05:30","Beauty","177605.04"
"2024-07-01 00:00:00+05:30","Groceries","157539.19"
"2024-07-01 00:00:00+05:30","Electronics","88822.41"
"2024-07-01 00:00:00+05:30","Clothing","73496.90"
"2024-08-01 00:00:00+05:30","Beauty","258126.34"
"2024-08-01 00:00:00+05:30","Groceries","248952.58"
"2024-08-01 00:00:00+05:30","Clothing","220988.48"
"2024-08-01 00:00:00+05:30","Electronics","187247.97"
"2024-08-01 00:00:00+05:30","Home & Kitchen","117556.34"
"2024-09-01 00:00:00+05:30","Beauty","249769.85"
"2024-09-01 00:00:00+05:30","Groceries","192126.92"
"2024-09-01 00:00:00+05:30","Clothing","96107.49"
"2024-09-01 00:00:00+05:30","Home & Kitchen","93094.80"
"2024-09-01 00:00:00+05:30","Electronics","87264.53"
"2024-10-01 00:00:00+05:30","Clothing","286420.10"
"2024-10-01 00:00:00+05:30","Home & Kitchen","275749.32"
"2024-10-01 00:00:00+05:30","Electronics","236356.60"
"2024-10-01 00:00:00+05:30","Groceries","146379.66"
"2024-10-01 00:00:00+05:30","Beauty","131287.16"
"2024-11-01 00:00:00+05:30","Electronics","289888.01"
"2024-11-01 00:00:00+05:30","Home & Kitchen","115663.70"
"2024-11-01 00:00:00+05:30","Clothing","110615.89"
"2024-11-01 00:00:00+05:30","Groceries","107708.01"
"2024-11-01 00:00:00+05:30","Beauty","100807.90"
"2024-12-01 00:00:00+05:30","Beauty","191179.48"
"2024-12-01 00:00:00+05:30","Groceries","156597.00"
"2024-12-01 00:00:00+05:30","Home & Kitchen","137253.49"
"2024-12-01 00:00:00+05:30","Electronics","88816.26"
"2024-12-01 00:00:00+05:30","Clothing","56167.69"
"2025-01-01 00:00:00+05:30","Home & Kitchen","256623.75"
"2025-01-01 00:00:00+05:30","Beauty","241714.75"
"2025-01-01 00:00:00+05:30","Electronics","144843.49"
"2025-01-01 00:00:00+05:30","Clothing","134686.82"
"2025-01-01 00:00:00+05:30","Groceries","77023.01"
"2025-02-01 00:00:00+05:30","Home & Kitchen","266248.84"
"2025-02-01 00:00:00+05:30","Groceries","205462.69"
"2025-02-01 00:00:00+05:30","Clothing","184758.23"
"2025-02-01 00:00:00+05:30","Electronics","163050.54"
"2025-02-01 00:00:00+05:30","Beauty","68755.88"
"2025-03-01 00:00:00+05:30","Electronics","257089.40"
"2025-03-01 00:00:00+05:30","Groceries","203402.55"
"2025-03-01 00:00:00+05:30","Home & Kitchen","197302.41"
"2025-03-01 00:00:00+05:30","Beauty","141908.40"
"2025-03-01 00:00:00+05:30","Clothing","33182.68"
"2025-04-01 00:00:00+05:30","Beauty","228706.20"
"2025-04-01 00:00:00+05:30","Electronics","206355.97"
"2025-04-01 00:00:00+05:30","Home & Kitchen","176400.35"
"2025-04-01 00:00:00+05:30","Clothing","146748.74"
"2025-04-01 00:00:00+05:30","Groceries","85596.68"
"2025-05-01 00:00:00+05:30","Beauty","123941.20"
"2025-05-01 00:00:00+05:30","Electronics","93088.22"
"2025-05-01 00:00:00+05:30","Groceries","74698.60"
"2025-05-01 00:00:00+05:30","Clothing","59203.37"
"2025-05-01 00:00:00+05:30","Home & Kitchen","37991.53"
